context,question,answer,start,end
"An Indian man , wearing his underclothes , pours water over himself .",Who does someone pour something on?,himself,11,11
A male and a female looking at snippets of paper .,Who is looking?,A male and a female,0,4
A male and a female looking at snippets of paper .,What is someone looking at?,snippets of paper,7,9
A man in high rubber boots and a plaid shirt is pushing a broom over the mossy blacktop .,Who is pushing something?,A man,0,1
A man in high rubber boots and a plaid shirt is pushing a broom over the mossy blacktop .,What is someone pushing?,a broom,12,13
A man in high rubber boots and a plaid shirt is pushing a broom over the mossy blacktop .,Where is something being pushed?,over the mossy blacktop,14,17
girl in red and black raising her leg,Who is raising something?,girl,0,0
girl in red and black raising her leg,What is someone raising?,her leg,6,7
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Who is sitting somewhere?,Two girls,0,1
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Where is someone sitting?,next to man in tan shirt,5,10
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Where is someone manned?,in tan shirt,8,10
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",What is someone manned in?,tan shirt,9,10
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Who is facing?,two boys,13,14
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Where is someone facing?,away from camera,18,20
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Who is sitting somewhere?,two boys,13,14
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Who is sitting?,all,22,22
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Where is someone sitting?,around a table,24,26
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,Who is wearing something?,A platinum blond young woman,0,4
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,What is someone wearing?,heavy makeup,6,7
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,Who is carrying something?,A platinum blond young woman,0,4
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,What is someone carrying?,a pink clutch,10,12
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,Who is talking?,A platinum blond young woman,0,4
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,Where is someone talking?,on her mobile phone,15,18
A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone .,What is someone talking on?,her mobile phone,16,18
A middle - aged woman with a pink satchel purse walking along a breakwater in a European coastal town .,What is walking?,A middle - aged woman with a pink satchel purse,0,9
A middle - aged woman with a pink satchel purse walking along a breakwater in a European coastal town .,Where is something walking?,along a breakwater,11,13
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,Who lifts up something?,A blond woman,0,2
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,What lifts up something?,A blond woman in a yellow shirt,0,6
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,What does something lift?,up her arm,8,10
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,What does someone lift up?,her arm,9,10
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,How does someone lift up something?,ands furrows her brow,11,14
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,What ands something?,her arm,9,10
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,Who furrows something?,A blond woman,0,2
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,What furrows something?,A blond woman in a yellow shirt,0,6
A blond woman in a yellow shirt lifts up her arm ands furrows her brow .,What does something furrow?,her brow,13,14
Soldiers march carrying bayonets while a crowd looks on .,Who marches?,Soldiers,0,0
Soldiers march carrying bayonets while a crowd looks on .,How does someone march?,carrying bayonets,2,3
Soldiers march carrying bayonets while a crowd looks on .,When does someone march as something?,while a crowd looks on,4,8
Soldiers march carrying bayonets while a crowd looks on .,Who carries something?,Soldiers,0,0
Soldiers march carrying bayonets while a crowd looks on .,What does someone carry?,bayonets,3,3
Soldiers march carrying bayonets while a crowd looks on .,When is something being carried?,while a crowd looks on,4,8
Soldiers march carrying bayonets while a crowd looks on .,Who looks on something?,a crowd,5,6
