,context
416,"When you think of cancer , the first thing that comes to mind is the dreaded disease . What is this disease and how does it affect your life ?
I was in a house with my brother and sister . I put my head on my knees and"
417,"I also do n't like the fact that the "" big fish "" have to go in a little fish , or that they have to be under the water , or that they must be caught in the shallow , or that it takes them an hour to"
418,"In the past few days , I attended a couple of deaf community events and got to know a couple of people who have been deaf for 30+ years . It was a really, really good day . We had a really good time and I got to"
419,"Tired of waiting and hoping for a visit from a friend, I decided to give my old friend a hug and a kiss.
When the time came to make the decision to move away , I had to make sure that my new friends and colleagues"
420,"Starbucks customers in the UK were given a free coffee from the coffee shop today because of a promotion the coffee chain launched in the UK .
I am a baby , but it is a very happy day for me . I am the middle of the"
421," It 's not easy being a butterfly , but I have to keep moving to get rid of the stuff . I did n't have to look at the time , or even look around because it was already all over the place .
I tried ("
422,"I had a great time making that video : there are so many things I could have done to improve it , but I think that video was very well done and I think I ' m pleased with it .
I felt so sad for the dog ."
423,"Kendall was a bit of a pro at what she did to the metal , which was an experiment . That metal was also a good idea , but it was still a little heavy given the size of the trip .
I noticed that even though"
424,"Cooper said that she was excited about the trip to St. Pete and the opportunity to see the Redwood State Park . She is also excited for the fact that she has been to the state capital and saw the governor .
But I did"
425,"A group of six friends , including a married couple and a young woman , gathered on a quiet park bench outside their home in the village of Konigsberg.
A friend has a house that is on fire . It is very much like a house"
426,"The wedding was great! I think I got married on Saturday and the reception was held on Sunday . I love all the people at the wedding . They have a really sweet wedding .
I was n't sure how to put this , but as soon"
427,"In the age of the internet, the prevalence of television has increased significantly . While previously people only used their consoles to watch movies and TV , YouTube has been creating games and movies for the whole family , and adults too . It 's almost like a"
428,"As his wife gave birth to their first child, Keith was overwhelmed with joy and happiness . The baby was named after Keith , his great - aunt .
# # # # # # # # # # # # # # # # # # #"
