context,question,label,answerA,answerB,answerC,answerD,answerE
"A street market where goods of fruit and vegetables are being sold by three men , one wearing a long - sleeve white shirt and checked bottoms , the next wearing a yellow shirt with green checkered bottoms , and the last in red .",What does someone wear?,D,on her head,over a bar,a green bib,a yellow shirt with green checkered bottoms,None of the above
An asian man attempts to put out a wildfire with a small wooden bucket .,Who attempts to do something?,D,A group of theater students,down at a bus stop,the others,An asian man,None of the above
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone attempt?,B,a long - sleeve white shirt and checked bottoms,to put out a wildfire,against any potential dangers,an explorer,None of the above
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone attempt to do?,B,snow,put out a wildfire,on a nearby sofa,a projector,None of the above
An asian man attempts to put out a wildfire with a small wooden bucket .,Who puts up something?,D,Three dogs,with the suitcase,from a large plant,An asian man,None of the above
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone put up?,A,a wildfire,in front of a fire hydrant,a cocktail,a story,None of the above
An asian man attempts to put out a wildfire with a small wooden bucket .,How does someone put up something?,C,another red crustacean,a large telescope,with a small wooden bucket,Two dogs,None of the above
An asian man attempts to put out a wildfire with a small wooden bucket .,What does someone put on?,D,a large tree trunk,goggles and a red anorak,so hard that it sends clumps of dirt and grass flying,a small wooden bucket,None of the above
A brown dog is lying on a grassy field as the wind blows through his fur .,What is lying?,A,A brown dog,a goal kick,in green lounge chairs,as he sits among friends and a couple pints of beer,None of the above
A brown dog is lying on a grassy field as the wind blows through his fur .,Where is something lying?,C,go zip lining,by the muzzle,on a grassy field,the pedestal,None of the above
A brown dog is lying on a grassy field as the wind blows through his fur .,What is something lying on?,B,at a tennis match,a grassy field,a venue,a toy gun,None of the above
A brown dog is lying on a grassy field as the wind blows through his fur .,When is something lying somewhere?,C,a picture of another woman,a tow truck man,as the wind blows through his fur,a sledge,None of the above
A brown dog is lying on a grassy field as the wind blows through his fur .,What blows?,C,a picture of another woman,to lift a barbell,the wind,Six people,None of the above
A brown dog is lying on a grassy field as the wind blows through his fur .,Where does something blow?,D,out of wood,in an area,his bicycle,through his fur,None of the above
A brown dog is lying on a grassy field as the wind blows through his fur .,What does something blow through?,A,his fur,a white shirt,A group of girls,A barefoot man,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Who wears something?,D,A matador,a small child,as he sits among friends and a couple pints of beer,A girl,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What did someone wear?,A,a white polka dotted pink bow,a woman in red and black striped pants,a yellow softball,a projector,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Where does someone wear something?,B,three men,in her hair,"a red shirt , khaki skirt and black shoes",in a field,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Who is dotted?,C,A man in a black coat,a little boy,A girl,A protester in a cowboy gear,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What is dotted?,C,in black colored fitted clothing,"A young boy wearing over - sized blue tank top and shorts , and a red and blue cap",pink bow,a white turtleneck,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Where is something dotted?,A,in her hair,the ground,A bride and groom,Young girl,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,Who squeezes something?,C,a lollipop,while playing the board game Clue,A girl,off an ocean side road,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What squeezes something?,D,a computer screen,A young man in a yellow and orange bathing suit,on a camera placed on a tripod,A girl wearing a white polka dotted pink bow in her hair,None of the above
A girl wearing a white polka dotted pink bow in her hair squeezes a bubble in front of her face .,What does something squeeze?,A,a bubble,in the far left background,Small blond boy,on a motocross bike,None of the above
